segment,index,x,y,yaw
0,429,11.8202,-2.5960,1.5767
0,430,11.8193,-2.4460,1.5767
0,431,11.8184,-2.2960,1.5767
0,432,11.8175,-2.1460,1.5767
0,433,11.8166,-1.9960,1.5767
0,434,11.8157,-1.8460,1.5767
0,435,11.8148,-1.6960,1.5767
0,436,11.8140,-1.5460,1.5767
0,437,11.8131,-1.3960,1.2318
0,438,11.8575,-1.2700,1.2983
0,439,11.8948,-1.1363,1.5064
0,440,11.9045,-0.9866,1.5233
0,441,11.9116,-0.8369,1.6053
0,442,11.9064,-0.6870,1.6053
0,443,11.9013,-0.5370,1.6053
0,444,11.8961,-0.3871,1.6053
0,445,11.8909,-0.2372,1.6381
0,446,11.8809,-0.0877,1.7033
0,447,11.8610,0.0610,1.7033
0,448,11.8412,0.2097,2.4149
0,449,11.7404,0.2993,1.8445
0,450,11.7050,0.4256,3.1134
0,451,11.5550,0.4298,3.1134
0,452,11.4051,0.4340,3.1134
0,453,11.2551,0.4382,3.1134
0,454,11.1052,0.4425,3.1134
0,455,10.9552,0.4467,3.1255
0,456,10.8053,0.4491,-3.1134
0,457,10.6553,0.4449,-3.1134
0,458,10.5054,0.4406,-3.1134
0,459,10.3554,0.4364,-3.1134
0,460,10.2055,0.4322,-3.1134
0,461,10.0555,0.4280,-3.1134
0,462,9.9056,0.4237,-3.1134
0,463,9.7556,0.4195,-3.1134
0,464,9.6057,0.4153,-3.1134
0,465,9.4557,0.4111,-3.1134
0,466,9.3058,0.4069,-3.1134
0,467,9.1558,0.4026,-3.1344
0,468,9.0059,0.4016,3.1142
0,469,8.8559,0.4057,3.1142
0,470,8.7060,0.4098,3.1142
0,471,8.5560,0.4139,3.1142
0,472,8.4061,0.4180,3.1142
0,473,8.2561,0.4221,2.8182
0,474,8.1304,0.4642,2.5918
0,475,8.0183,0.5329,3.0451
0,476,7.8690,0.5474,3.0451
0,477,7.7197,0.5618,-3.1134
0,478,7.5698,0.5576,-3.1071
0,479,7.4199,0.5524,-3.1071
0,480,7.2700,0.5472,-3.1071
0,481,7.1200,0.5421,-3.0963
0,482,6.9703,0.5353,-3.0133
0,483,6.8215,0.5161,-3.0133
0,484,6.6727,0.4969,-2.5757
0,485,6.5575,0.4237,-3.0295
0,486,6.4135,0.4075,-3.1048
0,487,6.2636,0.4020,-3.1048
0,488,6.1137,0.3965,-3.1048
0,489,5.9638,0.3909,-3.1048
0,490,5.8139,0.3854,-3.1048
0,491,5.6640,0.3799,-3.1048
0,492,5.5141,0.3744,-3.1048
0,493,5.3642,0.3689,-3.1048
0,494,5.2143,0.3634,-3.1048
0,495,5.0643,0.3579,-3.1048
0,496,4.9144,0.3524,-3.1173
0,497,4.7645,0.3487,-3.1267
0,498,4.6145,0.3465,-3.1267
0,499,4.4645,0.3442,-3.1267
0,500,4.3145,0.3420,-3.1267
0,501,4.1645,0.3398,-3.1267
0,502,4.0145,0.3375,-3.1267
0,503,3.8645,0.3353,-3.1267
0,504,3.7145,0.3331,-3.1267
0,505,3.5645,0.3308,-3.1267
0,506,3.4145,0.3286,-3.1267
0,507,3.2646,0.3263,-3.1267
0,508,3.1146,0.3241,-3.1267
0,509,2.9646,0.3219,-3.1267
0,510,2.8146,0.3196,-3.1267
0,511,2.6646,0.3174,-3.1267
0,512,2.5146,0.3151,-3.1267
0,513,2.3646,0.3129,-3.1267
0,514,2.2146,0.3107,-3.1267
0,515,2.0646,0.3084,-3.1267
0,516,1.9146,0.3062,-3.1267
0,517,1.7646,0.3039,-3.1267
0,518,1.6146,0.3017,-3.1232
0,519,1.4647,0.2990,-3.1120
0,520,1.3147,0.2945,-3.1120
0,521,1.1648,0.2901,-3.1120
0,522,1.0148,0.2856,-3.1120
0,523,0.8649,0.2812,-3.1120
0,524,0.7149,0.2767,-3.1120
